Variable Name,Missing Rate
RecordNo,0.0
endtime,0.0
qweek,0.0
i1_health,0.425891181988743
i2_health,0.03718908476213475
i7a_health,0.3325283747886984
i3_health,0.5593780766444374
i4_health,0.5627217505990749
i5_health_1,0.41108613675626476
i5_health_2,0.41108613675626476
i5_health_3,0.41108613675626476
i5_health_4,0.41108613675626476
i5_health_5,0.41108613675626476
i5_health_99,0.41108613675626476
i5a_health,0.9629966749020118
i6_health,0.9378262404101574
i7b_health,0.9647242397785745
i8_health,0.9758140917281222
i9_health,0.018594542381067374
i10_health,0.35112291716976574
i11_health,0.018594542381067374
i12_health_1,0.0
i12_health_2,0.01868742221314064
i12_health_3,0.0
i12_health_4,0.0
i12_health_5,0.0
i12_health_6,0.0
i12_health_7,0.0
i12_health_8,0.0
i12_health_9,0.4266527966117437
i12_health_10,0.7268589898389464
i12_health_11,0.01868742221314064
i12_health_12,0.0
i12_health_13,0.0
i12_health_14,0.0
i12_health_15,0.0
i12_health_16,0.0
i12_health_17,0.6084743558783646
i12_health_18,0.6084743558783646
i12_health_19,0.6084743558783646
i12_health_20,0.6084743558783646
i13_health,0.3325283747886984
i14_health_1,0.4266527966117437
i14_health_2,0.4266527966117437
i14_health_3,0.4266527966117437
i14_health_4,0.4266527966117437
i14_health_5,0.4266527966117437
i14_health_6,0.4266527966117437
i14_health_7,0.4266527966117437
i14_health_8,0.4266527966117437
i14_health_9,0.4266527966117437
i14_health_10,0.4266527966117437
i14_health_96,0.4266527966117437
i14_health_98,0.4266527966117437
i14_health_99,0.4266527966117437
i14_health_other,0.8990767744691918
d1_health_1,0.16731372949677706
d1_health_2,0.16731372949677706
d1_health_3,0.16731372949677706
d1_health_4,0.16731372949677706
d1_health_5,0.16731372949677706
d1_health_6,0.16731372949677706
d1_health_7,0.16731372949677706
d1_health_8,0.16731372949677706
d1_health_9,0.16731372949677706
d1_health_10,0.16731372949677706
d1_health_11,0.16731372949677706
d1_health_12,0.16731372949677706
d1_health_13,0.16731372949677706
d1_health_98,0.16731372949677706
d1_health_99,0.16731372949677706
weight,0.0
age,0.0
gender,0.0
state,0.0
household_size,0.0
employment_status,0.0
WCRex2,0.05537495588207977
WCRV_4,0.7568777515650251
CORE_B2_4,0.7942154440584771
cantril_ladder,0.0740252261623911
PHQ4_1,0.19972879089034606
PHQ4_2,0.200267493916371
PHQ4_3,0.1998030947560047
PHQ4_4,0.19989597458807795
m1_1,0.98127542585403
m1_2,0.98127542585403
m1_3,0.98127542585403
m1_4,0.98127542585403
m2,0.9251760072817788
m3,0.9286125610684896
m4_1,0.9796407408095407
m4_2,0.9796407408095407
m4_3,0.9796407408095407
m4_4,0.9796407408095407
m4_96,0.9796407408095407
m4_99,0.9796407408095407
m4_other,0.9994612969739751
m5_1,0.998606802518901
m5_2,0.9973622127691193
m6_1,0.9991640815113406
m6_2,0.9991640815113406
m6_3,0.9991640815113406
m6_4,0.9991640815113406
m6_5,0.9991640815113406
m6_6,0.9991640815113406
m6_7,0.9991640815113406
m6_8,0.9991640815113406
m6_96,0.9991640815113406
m6_other,0.9999814240335854
m7_1,0.9796407408095407
m7_2,0.9796407408095407
m7_3,0.9796407408095407
m7_4,0.9796407408095407
m7_5,0.9796407408095407
m7_6,0.9796407408095407
m7_8,0.9796407408095407
m7_9,0.9796407408095407
m7_10,0.9796407408095407
m7_11,0.9796407408095407
m8_1,0.9953745843627515
m8_2,0.9953745843627515
m8_3,0.9953745843627515
m8_4,0.9953745843627515
m8_5,0.9953745843627515
m8_6,0.9953745843627515
m8_7,0.9953745843627515
m8_8,0.9953745843627515
m8_96,0.9953745843627515
m8_99,0.9953745843627515
m8_other,0.9999442721007561
m9_1,0.9953745843627515
m9_2,0.9953745843627515
m9_3,0.9953745843627515
m9_4,0.9953745843627515
m9_5,0.9953745843627515
m9_6,0.9953745843627515
m9_7,0.9953745843627515
m10,0.9821113443426894
m11,0.9821113443426894
